Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,29,27,8,27,8
6,6,27,27,26,1
7,7,26,27,27,2
8,8,25,26,28,3
9,9,24,25,27,4
10,10,23,24,28,5
11,11,22,23,27,6
12,12,21,22,28,7
13,13,20,21,27,8
14,14,19,20,28,7
15,15,20,21,27,8
16,16,21,22,28,7
17,17,22,21,27,8
18,18,23,22,28,7
19,19,24,21,27,8
20,20,25,21,28,7
21,21,26,22,27,8
22,22,27,21,28,7
23,23,28,20,27,8
24,24,28,19,28,7
25,23,28,18,27,8
26,22,27,17,28,7
27,23,27,16,27,8
28,24,26,15,28,7
27,25,25,14,27,8
28,26,24,13,28,7
27,27,23,12,27,8
28,28,24,11,28,7
27,29,25,10,27,8
28,28,26,9,28,7
27,29,27,8,27,8
